customerID;jobID;bookingTime;vaTime;startX;startY;endX;endY;;
30001;AP0001;01.05.2016 00:00;01.05.2016 00:00;476060.0565;5553051.475;476093.1399;5552905.364;;
30002;AP0002;01.05.2016 00:01;01.05.2016 00:01;476124.2854;5552804.863;476189.8627;5552845.278;;
30003;AP0003;01.05.2016 00:03;01.05.2016 00:03;476155.1852;5552797.45;475960.6874;5552669.377;;
30004;AP0004;01.05.2016 00:03;01.05.2016 00:03;476229.7942;5552813.657;476050.9973;5552603.201;;
30005;AP0005;01.05.2016 00:06;01.05.2016 00:06;476191.5971;5553023.074;476683.0221;5552505.483;;
30006;AP0006;01.05.2016 00:07;01.05.2016 00:07;475868.4161;5553021.374;476811.7576;5552589.591;;
30007;AP0007;01.05.2016 00:08;01.05.2016 00:08;476606.6514;5552908.919;476158.7785;5552656.851;;
30008;AP0008;01.05.2016 00:08;01.05.2016 00:08;476402.2177;5552817.602;476020.5582;5552687.595;;
30009;AP0009;01.05.2016 00:09;01.05.2016 00:09;475977.6521;5552596.685;476220.0555;5552871.462;;
30010;AP0010;01.05.2016 00:10;01.05.2016 00:10;476137.4044;5552880.559;476221.4616;5552811.919;;
30011;AP0011;01.05.2016 00:11;01.05.2016 00:11;476113.4947;5552809.867;476654.5181;5552828.621;;
30012;AP0012;01.05.2016 00:11;01.05.2016 00:11;476278.9356;5552823.204;476650.323;5552665.959;;
30013;AP0013;01.05.2016 00:11;01.05.2016 00:11;476182.7048;5552977.779;476303.1676;5552785.566;;
30014;AP0014;01.05.2016 00:14;01.05.2016 00:14;476162.8745;5553119.755;475864.7336;5553177.194;;
30015;AP0015;01.05.2016 00:14;01.05.2016 00:14;476645.9368;5553323.692;476759.7074;5553260.332;;
30016;AP0016;01.05.2016 00:15;01.05.2016 00:15;476646.5606;5552939.38;476604.588;5552991.875;;
30017;AP0017;01.05.2016 00:15;01.05.2016 00:15;476133.3459;5552986.724;476893.3919;5552921.788;;
30018;AP0018;01.05.2016 00:16;01.05.2016 00:16;476212.7054;5552905.894;476531.155;5552465.209;;
30019;AP0019;01.05.2016 00:16;01.05.2016 00:16;476086.0889;5552940.995;476036.0493;5552681.018;;
30020;AP0020;01.05.2016 00:16;01.05.2016 00:16;476196.8297;5552651.984;476064.3879;5552547.39;;
30021;AP0021;01.05.2016 00:19;01.05.2016 00:19;476868.6376;5552808.144;476243.477;5552472.634;;
30022;AP0022;01.05.2016 00:20;01.05.2016 00:20;476619.8055;5552626.834;476177.8983;5552456.672;;
30023;AP0023;01.05.2016 00:20;01.05.2016 00:20;476321.5402;5553241.806;476650.8853;5552941.982;;
30024;AP0024;01.05.2016 00:21;01.05.2016 00:21;476308.1568;5553258.443;476302.4292;5553295.833;;
30025;AP0025;01.05.2016 00:21;01.05.2016 00:21;476833.8024;5553016.544;476125.463;5552981.038;;
30026;AP0026;01.05.2016 00:23;01.05.2016 00:23;476671.6961;5552528.832;476052.4424;5552760.072;;
30027;AP0027;01.05.2016 00:25;01.05.2016 00:25;476175.3433;5552907.335;476601.0771;5553128.457;;
30028;AP0028;01.05.2016 00:28;01.05.2016 00:28;476020.6383;5552728.581;476642.4578;5553231.333;;
30029;AP0029;01.05.2016 00:29;01.05.2016 00:29;476658.6682;5552815.662;476085.6437;5552975.067;;
30030;AP0030;01.05.2016 00:30;01.05.2016 00:30;476673.0914;5552405.541;476208.423;5552926.466;;
30031;AP0031;01.05.2016 00:32;01.05.2016 00:32;476578.1121;5552745.351;475922.861;5553134.009;;
30032;AP0032;01.05.2016 00:33;01.05.2016 00:33;476921.209;5552818.576;476176.9442;5552976.336;;
30033;AP0033;01.05.2016 00:37;01.05.2016 00:37;476239.6613;5552784.59;476650.3798;5552571.159;;
30034;AP0034;01.05.2016 00:40;01.05.2016 00:40;476201.8426;5552960.479;476586.2857;5552683.006;;
30035;AP0035;01.05.2016 00:42;01.05.2016 00:42;476837.6652;5553028.144;476377.6173;5552411.255;;
30036;AP0036;01.05.2016 00:42;01.05.2016 00:42;476464.5981;5552887.049;476285.5648;5552268.198;;
30037;AP0037;01.05.2016 00:43;01.05.2016 00:43;476749.8935;5552633.123;476065.7533;5552780.11;;
30038;AP0038;01.05.2016 00:44;01.05.2016 00:44;476531.2375;5552471.513;476200.7006;5552857.3;;
30039;AP0039;01.05.2016 00:44;01.05.2016 00:44;476298.3987;5552869.582;476444.5652;5552807.478;;
30040;AP0040;01.05.2016 00:45;01.05.2016 00:45;476079.5459;5552973.902;476538.328;5552823.025;;
30041;AP0041;01.05.2016 00:46;01.05.2016 00:46;476304.8818;5552782.548;476662.3371;5552668.713;;
30042;AP0042;01.05.2016 00:47;01.05.2016 00:47;476096.4618;5553051.145;476894.8472;5552820.679;;
30043;AP0043;01.05.2016 00:48;01.05.2016 00:48;476177.5283;5552802.758;476185.3431;5552843.977;;
30044;AP0044;01.05.2016 00:50;01.05.2016 00:50;476112.6444;5552807.629;476228.8845;5552862.221;;
30045;AP0045;01.05.2016 00:51;01.05.2016 00:51;476140.4259;5553207.076;476425.6202;5552420.617;;
30046;AP0046;01.05.2016 00:53;01.05.2016 00:53;475875.8258;5553017.619;476292.373;5552481.297;;
30047;AP0047;01.05.2016 00:54;01.05.2016 00:54;476407.5473;5552898.143;476474.1245;5552429.825;;
30048;AP0048;01.05.2016 00:55;01.05.2016 00:55;476392.5043;5552881.243;476334.4069;5552401.994;;
30049;AP0049;01.05.2016 00:59;01.05.2016 00:59;476694.1213;5552468.99;476348.3925;5553157.692;;
30050;AP0050;01.05.2016 01:00;01.05.2016 01:00;476326.2036;5552377.242;476425.3514;5553017.67;;
30051;AP0051;01.05.2016 01:01;01.05.2016 01:01;476004.6286;5552882.757;476092.4919;5552799.976;;
30052;AP0052;01.05.2016 01:02;01.05.2016 01:02;476080.7903;5552593.252;476281.7659;5552590.51;;
30053;AP0053;01.05.2016 01:04;01.05.2016 01:04;476102.0966;5552803.815;476753.3347;5553084.208;;
30054;AP0054;01.05.2016 01:04;01.05.2016 01:04;476188.8044;5552999.328;476774.1769;5553000.071;;
30055;AP0055;01.05.2016 01:05;01.05.2016 01:05;476546.7982;5552849.643;476183.029;5553039.391;;
30056;AP0056;01.05.2016 01:06;01.05.2016 01:06;476509.8498;5552806.148;476134.9561;5552965.813;;
30057;AP0057;01.05.2016 01:08;01.05.2016 01:08;476505.4927;5552821.242;476288.457;5552306.092;;
30058;AP0058;01.05.2016 01:08;01.05.2016 01:08;476652.4278;5552834.706;476398.7852;5552455.43;;
30059;AP0059;01.05.2016 01:10;01.05.2016 01:10;476670.654;5552393.193;476022.3383;5553295.053;;
30060;AP0060;01.05.2016 01:11;01.05.2016 01:11;476905.0577;5552815.476;475958.6082;5553291.201;;
30061;AP0061;01.05.2016 01:11;01.05.2016 01:11;476402.7243;5552506.791;476142.7789;5552836.964;;
30062;AP0062;01.05.2016 01:13;01.05.2016 01:13;476677.1731;5552265.468;476312.4394;5552904.244;;
30063;AP0063;01.05.2016 01:15;01.05.2016 01:15;476198.4791;5552872.584;476262.4121;5552837.92;;
30064;AP0064;01.05.2016 01:18;01.05.2016 01:18;475906.8808;5553160.371;475927.3732;5553097.41;;
30065;AP0065;01.05.2016 01:18;01.05.2016 01:18;476142.5465;5552858.131;476316.1315;5552882.725;;
